name,content,score,at,appversion
Brent Moose,"awesome game, really fun!",5,2023-08-21 02:16:44,1.8.0
Michael Clancy,Wonderful I love monopoly the board game and now it's on my phone,5,2023-08-21 02:16:03,1.8.0
Kathy B,"Fun, easy to play, BUT screen is always cluttered with packages to buy. Worse, it's a MAJOR battery hog!!! (Do NOT leave the app open.) Also, during setup, the game lets you add other users as friends. After that, though, you can only add friends from Contacts. But if you're looking for something that's fun, easy, can be played with friends, and doesn't force you to buy stuff, it's good. Just keep your charger or power bank handy.",3,2023-08-21 02:15:42,1.8.0
Darren Ross,"I've made multiple purchases and never received the items. They take over a month to simply answer and make things right even though I've purchased many times. Due to this,I reported the game to the proper authorities and,subsequently , was targeted by the creators of the game. The rules of the game power the creator were broken time and time again because I was robbed by ghost accounts and allowed to be robbed every other hour by people that were not able to be looked up to add in any capacity",1,2023-08-21 02:15:22,1.8.0
Lydia Stipetic,Love it just like playing the board game Just with more options. Love playing with friends and family.,5,2023-08-21 02:14:51,1.8.0
AnthonyAA Weise,This Monopoly Go game is absolutely a great game to play when you have time out of your somewhat busy day either at work or at home. Check it out you all might also agree that I am right on this one here for sure!,5,2023-08-21 02:13:32,1.8.0
Natalie Bennett,This game is bogus and it cheats do not play. They have people play against you to get you to by more stuff then you spend all this money and don't get anything you need. If I could I would give zero stars.,1,2023-08-21 02:12:50,1.8.0
Tasmina Sheikh,It is a very great game i love it,5,2023-08-21 02:11:18,1.8.0
Desiree Williams,I love playing with people,5,2023-08-21 02:09:44,1.8.0
Joe Benton,This game is a succubus for time and never rewards you. Absolutely terrible,3,2023-08-21 02:09:11,1.8.0
Rebecca Reason,"Absolutely terrible customer service. I put in a request and then after waiting 3 days, they finally responded with a completely unrelated answer and closed my request. Customer service is not doing their job at all. Play the game if you want but DO NOT SPEND ANY MONEY ON THIS GAME, THEY WILL SCAM YOU AND THE IN APP CUSTOMER SUPPORT WILL NOT HELP.",1,2023-08-21 02:07:44,1.8.0
Scott Ritchie,It the cool game ever,5,2023-08-21 02:07:24,1.8.0
Shawanda Jones,I'm addicted to this game,5,2023-08-21 02:05:16,1.8.0
James Magwood,Not even close to monopoly,1,2023-08-21 02:03:55,1.8.0
Camara Scott,Love this game it's so fun,5,2023-08-21 02:03:25,1.8.0
Nicole Steele,"Time waster! Love it though, it's fun to play with family and my friends",5,2023-08-21 02:02:31,1.8.0
Brittany Hawkins,Completed a tournament and won 1st place and didn't even get the prize!,1,2023-08-21 02:02:11,1.8.0
Rhonda Carson,Awesome,5,2023-08-21 02:01:17,1.8.0
Elliott Bidnick,Incredibly fun to play,5,2023-08-21 01:59:51,1.8.0
J 2Winn,I love it,5,2023-08-21 01:56:56,1.8.0
Dubya Dubya,"Creating fake profiles to make me buy rolls in order to win cards is outrageous. Also, why have duplicates of non tradeable cards? Makes no sense.",2,2023-08-21 01:56:45,1.8.0
Debra Fogle,This game is a great game,5,2023-08-21 01:56:23,1.8.0
Ben Beair,Fun game to play.,5,2023-08-21 01:55:52,1.8.0
Taishan Miller,"Great game, but to many duplicates. It's slowly starting to make the game boring.",4,2023-08-21 01:54:44,1.8.0
Johnny Sanders Jr,Love it great game.,5,2023-08-21 01:54:34,1.8.0
Leslie Collins,Love the game just wished they give more new stickers and dice load faster,5,2023-08-21 01:53:40,1.8.0
Jaco Laing,I just love this game,5,2023-08-21 01:53:37,1.8.0
Umer Usman,It's good,5,2023-08-21 01:52:31,1.8.0
Mackenzie Adair,Amazing so fun,5,2023-08-21 01:51:27,1.8.0
Reid L,Feeling a little mischievous? Perfect game to ruffle friends feathers!,4,2023-08-21 01:51:17,1.8.0
Shauntrea Saunders,Great game,5,2023-08-21 01:50:05,1.8.0
Clarice Aragon,It would be better if you at least got one card you needed every time you opened a sticker pack but it seems the further along you are the harder it is to get dice or stickers you actually need for the challenge. Also you should be able buy dice with your earnings.,3,2023-08-21 01:49:29,1.8.0
Buhlebenkosi Mulaudzi,Very fun game to play but if u have enemies 😂😂but it is enjoyable ❤️,5,2023-08-21 01:49:25,1.8.0
Alvin Maina,This game is cool I love it by now...,4,2023-08-21 01:46:14,1.8.0
Onon Tse,it doesnt like the way of the classic monopoly,1,2023-08-21 01:45:24,
Alton Joseph,Great Game,5,2023-08-21 01:44:56,1.8.0
Robin D'Amore,Awsome and fun,5,2023-08-21 01:41:47,1.8.0
Jagu J.S,Awesome game!!!,5,2023-08-21 01:41:16,1.8.0
Ingyr Nash,It's a fun way to pass time with a childhood memory,5,2023-08-21 01:41:14,1.8.0
Charles M.,"Been very fun, the stickers however, while rewarding, its also so sad to do because there's a lot of scammers like whaaaaaaat come on, please add a gifting and a trading option to avoid these scams",4,2023-08-21 01:40:53,1.8.0
Blacc Joker,I f****with it,5,2023-08-21 01:40:32,1.8.0
Jessica Greene,Very fun game,5,2023-08-21 01:37:25,1.8.0
Danial Isyraq,Very good but please give new stickers,5,2023-08-21 01:37:24,1.8.0
Abdur Rahmaan Desai,Best game ever,5,2023-08-21 01:35:54,1.8.0
Muhammad Haziq Aman,thank game ni terhebat di dunia,5,2023-08-21 01:35:47,1.8.0
Iris Escalona,"ZERO STARS!! This game was great and addicting but then you start getting all the same stickers, can't trade golds. Even finishing challenges doesn't get you the stickers you need. The 2 Facebook pages are terrible. Support is horrible. getting repeatedly attacked my someone not on my friends list but yet this person never came up for me to attack. It was just excessive, every day. No way to block. I spent money on this game buying dice. I still have a good amount of dice but not fun anymore.",1,2023-08-21 01:35:15,1.8.0
Jeff Davis,Fun,5,2023-08-21 01:34:44,1.8.0
juliet alemu,It's fun but will be more fun if 5 star cards are made easier to get,5,2023-08-21 01:34:19,
julie brackstone,It fun so far only just started,4,2023-08-21 01:29:33,1.8.0
Austin Brown,Great and addictive although after awhile gets kinda repetative and boring. Maybe add more game modes?,4,2023-08-21 01:28:03,1.8.0
Rob Delp,I world like to know how this spam garbage got installed on my phone? Can't brag about downloads when this was installed on its own. Btw it trash. This is on my phone again? Who the eff is doing this? I want to know how this garbage game is getting on my phone. I better get a response,1,2023-08-21 01:27:53,1.8.0
Amy Kaye,Fun addicting,5,2023-08-21 01:27:20,1.8.0
Damariontay O'neal,It is Soo good game,5,2023-08-21 01:25:52,1.8.0
MomaWolf,It's a very fun game. Graphics and gameplay are pretty good. Definitely keeps me entertained. I won't give it 5 stars because their prices are too high for what you get. Hope this helps. Have fun,4,2023-08-21 01:25:48,1.8.0
Chase blevins,It's a fun game you can shut down your family and friends but when you get more than 3 shields you get rolls I personally prefer to get more shields,5,2023-08-21 01:25:46,1.8.0
Torrvez Caldwell,Always loved monopoly .,5,2023-08-21 01:25:20,1.8.0
Itslil Jimz,Fun time killer,5,2023-08-21 01:23:41,1.8.0
Jennifer Wiegand,Love the game but hate waiting for the dice to add up lol,5,2023-08-21 01:23:18,1.8.0
Tony Herron,Fun game,5,2023-08-21 01:22:52,1.8.0
Mike Dugger,My favtor game so much fun,5,2023-08-21 01:22:16,1.8.0
Norma Borzumato,Its a fun and relaxing game,5,2023-08-21 01:21:44,1.8.0
Cynthia Gilbert,I am new to the game. I have landed in jail several times. But am not able to roll dice because the screen freezes. I hope they can fix this problem soon. Otherwise I think it may be fun overall.,4,2023-08-21 01:20:49,1.8.0
Rebecca Fambro,Hasnt worked in 3 hours,2,2023-08-21 01:20:18,1.8.0
Antonio Diaz,Great game addictive,5,2023-08-21 01:19:26,1.8.0
Patrick Udoh,Not bad,4,2023-08-21 01:19:25,1.8.0
say mil,Not enough dice,2,2023-08-21 01:17:45,
Billy Dragg,It's a fun game easy to play,5,2023-08-21 01:16:49,1.8.0
Zach Lee,Fun,5,2023-08-21 01:16:01,1.8.0
Joseph Demouchet,Enjoyable to pass time,3,2023-08-21 01:15:13,
Justin Martin,I love the nostalgic monopoly game feel with a little new twists added with building your cities. It's nice,5,2023-08-21 01:15:11,1.8.0
Shannon Stiles,Awesome,5,2023-08-21 01:14:59,1.8.0
Armetrica Patterson,Interesting game and i get to play with friends and family.,5,2023-08-21 01:13:33,1.8.0
Rizalina Florencia Acierto Antonio (rhain),I have so much fun I love it,5,2023-08-21 01:13:11,1.8.0
Mark Drage,Not bad game,4,2023-08-21 01:13:00,1.8.0
Chima Orji,Awesome 👍,5,2023-08-21 01:12:38,1.8.0
Samantha Bucknall,Lekkerte,5,2023-08-21 01:11:49,1.8.0
Alio ElMokdad,hard to get dices coinmaster start to be much better,1,2023-08-21 01:10:19,1.8.0
Troy Genovese,"Fun fun fun, without the arguments...🤣",5,2023-08-21 01:09:28,1.8.0
caroline cross,What's going on with the game glitching!? Also the sticker system sucks! Too many duplicates AND we should be able to trade gold stickers!,2,2023-08-21 01:07:44,1.8.0
Tenniell Ridriguez,Excellent I love the game.,5,2023-08-21 01:06:40,1.8.0
Rachel Madden,Fun game,5,2023-08-21 01:03:43,1.8.0
Ebony Lanier,Love it,5,2023-08-21 01:03:02,1.8.0
x •яв•,Good 👍,5,2023-08-21 01:00:21,1.8.0
Real Loyal,Great game,4,2023-08-21 01:00:04,1.8.0
Tyree Murdock,Classic board game with a digital twist extremely addictive,5,2023-08-21 00:56:36,1.8.0
Chevion Alcindor,It is utmost rubbish that you all are constantly giving people duplicate gold cards yet we are not able to trade gold cards! You all are a nonsensical gaming company! I WILL BE DELETING AND ENCOURAGING ALL 3000 OF MY GROUPS MEMBERS TO DELETE AS WELL!!!,1,2023-08-21 00:56:18,1.8.0
Oghenetega Akiri,"The game is rigged, and they never let you get complete stickers",1,2023-08-21 00:55:53,1.8.0
Matt Bender,It's fun,5,2023-08-21 00:54:07,1.8.0
Kent Arifin,"I'll be back here and change the rating after you give me treasure memories, and if you don't give me i'll change it to 1 star, and if you do give me i'll rate your application higher than 5 stars",3,2023-08-21 00:53:57,1.8.0
Amber Pucula,I love this game so fun,5,2023-08-21 00:50:52,1.8.0
